Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Dietary_Tags,Season,Cooking_Method,Portion_Size
Protein Bar Low-Carb (Extra Large portion),Supplement/Processed,366,30.7,35.5,11.8,8.2,15.9,431,0,Snack,0,"high-protein,gluten-free",Spring,Baked,Extra Large
Protein Shake Asian Style (Standard portion),Supplement,125,24.7,3.1,0.9,0.7,1.5,253,0,Breakfast,400,"high-protein,low-carb,gluten-free",Winter,Raw,Standard
Almonds Italian Style (Extra Large portion),Nut,283,10.1,9.9,22.7,1,2.5,30,0,Snack,200,"low-carb,gluten-free",Fall,Boiled,Extra Large
Protein Shake with Avocado (Extra Large portion),Supplement,183,42,4.9,1.5,0.6,1.6,23,0,Breakfast,350,"high-protein,low-carb,gluten-free",All Year,Raw,Extra Large
Protein Shake with Avocado (Large portion),Supplement,142,28.9,4.1,1.4,0.7,1.9,241,0,Breakfast,250,"high-protein,low-carb,gluten-free",Summer,Steamed,Large
Protein Shake (Standard portion),Supplement,122,22.6,2.8,1,0.8,1,285,0,Breakfast,350,"high-protein,low-carb,gluten-free",Summer,Grilled,Standard
Almonds High-Fiber (Large portion),Nut,200,8.1,8.3,17.4,1.7,4.1,44,0,Snack,250,"low-carb,gluten-free",Fall,Roasted,Large
Avocado Toast Light (Standard portion),Meal/Vegetarian,251,7.5,25.2,14.2,7.5,8.2,411,0,Breakfast,250,"vegetarian,gluten-free",Spring,Roasted,Standard
Veggie Burger with Avocado (Small portion),Protein/Vegetarian,83,8,7.4,2.8,1.3,2.5,298,0,Lunch,400,"low-carb,vegetarian,vegan",Winter,Boiled,Small
Salmon Italian Style (Large portion),Protein/Fish,324,35.4,0,19.3,0,0,44,46,Dinner,500,"high-protein,low-carb,gluten-free",All Year,Steamed,Large
Tuna Salad Low-Carb (Extra Large portion),Meal/Fish,274,32.5,3.2,17.5,0.9,1.5,540,124,Lunch,400,"high-protein,low-carb,gluten-free",Spring,Grilled,Extra Large
Turkey Sandwich Extra Protein (Extra Large portion),Meal/Processed,511,33.1,59.3,19,12.6,24.2,789,128,Lunch,350,"high-protein,gluten-free",Spring,Raw,Extra Large
Spaghetti Bolognese Spicy (Large portion),Meal/Pasta,627,26.8,65.8,25.6,8.4,22.9,711,0,Dinner,400,"high-protein,gluten-free",Winter,Steamed,Large
Protein Shake Mexican Style (Extra Large portion),Supplement,192,39.8,5.3,1.7,0.6,1.4,166,0,Breakfast,300,"high-protein,low-carb,gluten-free",Winter,Pan-fried,Extra Large
Quinoa Bowl Extra Protein (Extra Large portion),Meal/Grain,611,24.1,82.4,19.4,24.2,40.8,681,0,Lunch,350,"high-protein,gluten-free",Winter,Steamed,Extra Large
Quinoa Bowl Spicy (Large portion),Meal/Grain,493,19.8,65.2,16.6,17.2,28.2,295,0,Lunch,500,gluten-free,All Year,Pan-fried,Large
Banana with Cheese (Standard portion),Fruit,106,1.4,27.9,0.4,8.1,8.4,231,0,Breakfast,350,gluten-free,All Year,Grilled,Standard
Spaghetti Bolognese Spicy (Extra Large portion),Meal/Pasta,676,34.4,96,27,23.6,40.8,363,0,Dinner,400,"high-protein,gluten-free",All Year,Steamed,Extra Large
Protein Shake with Cheese (Small portion),Supplement,89,17.7,2.3,0.8,0.3,0.5,21,0,Breakfast,350,"low-carb,gluten-free",Winter,Raw,Small
Hummus with Vegetables (Small portion),Legume,49,1.3,2.9,3.5,0.8,1.1,282,0,Snack,200,"low-carb,gluten-free",Summer,Grilled,Small
Vegetable Curry with Cheese (Small portion),Meal/Vegetable,210,7.1,27.6,9.7,3.7,11.9,380,0,Dinner,350,gluten-free,Summer,Boiled,Small
Stir Fry Tofu Italian Style (Standard portion),Meal/Vegetarian,398,17,31.8,23.1,5.6,13.2,559,0,Dinner,500,"vegetarian,vegan,gluten-free",All Year,Boiled,Standard
Almonds Low-Carb (Standard portion),Nut,157,6.2,5.5,14.3,1,1.3,146,0,Snack,150,"low-carb,gluten-free",Summer,Raw,Standard
Whole Wheat Toast Low-Carb (Extra Large portion),Grain,139,6.3,22.6,1.7,2.4,5.1,203,0,Breakfast,350,gluten-free,Summer,Boiled,Extra Large
Spaghetti Bolognese with Avocado (Extra Large portion),Meal/Pasta,670,31.2,94.2,26.7,11.1,26.4,662,0,Dinner,250,"high-protein,gluten-free",All Year,Boiled,Extra Large
Turkey Sandwich Asian Style (Extra Large portion),Meal/Processed,490,37,57.3,17.3,16.1,17,961,133,Lunch,300,"high-protein,gluten-free",Winter,Raw,Extra Large
Protein Bar Mexican Style (Standard portion),Supplement/Processed,206,21.4,20.9,7.7,5,5.7,1162,0,Snack,250,"high-protein,gluten-free",All Year,Raw,Standard
Lentil Soup with Avocado (Small portion),Meal/Legume,156,9.7,23.1,2.1,5.4,5.6,504,0,Lunch,400,gluten-free,Summer,Grilled,Small
Lentil Soup Asian Style (Extra Large portion),Meal/Legume,346,23.3,52.3,4.6,6.3,22.1,223,0,Lunch,400,"high-protein,gluten-free",Summer,Roasted,Extra Large
Turkey Sandwich (Standard portion),Meal/Processed,334,23.4,36.4,12.8,4.4,10.3,1133,88,Lunch,250,"high-protein,gluten-free",Fall,Roasted,Standard
Cottage Cheese (Extra Large portion),Dairy,135,20,8.2,4.6,2.3,2.3,239,138,Snack,150,"low-carb,gluten-free",Winter,Baked,Extra Large
Apple Asian Style (Extra Large portion),Fruit,152,0.8,39.4,0.5,6.4,8.2,97,0,Snack,0,gluten-free,Winter,Roasted,Extra Large
Quinoa Bowl High-Fiber (Large portion),Meal/Grain,497,17.8,66,16.5,6.8,27,315,0,Lunch,350,gluten-free,Winter,Steamed,Large
Oatmeal Low-Carb (Small portion),Grain,57,2.3,10.5,1,1.6,3.8,234,0,Breakfast,300,gluten-free,Spring,Boiled,Small
Beef Steak Light (Small portion),Protein/Meat,178,26.7,0,7,0,0,242,126,Dinner,500,"high-protein,low-carb,gluten-free",All Year,Grilled,Small
Spaghetti Bolognese Low-Carb (Extra Large portion),Meal/Pasta,796,29.5,94.4,29.1,16.2,40.2,450,0,Dinner,500,"high-protein,gluten-free",All Year,Pan-fried,Extra Large
Spaghetti Bolognese with Vegetables (Large portion),Meal/Pasta,613,24.8,68.1,25.6,11.9,18.4,348,0,Dinner,250,"high-protein,gluten-free",Fall,Boiled,Large
Beef Steak Low-Carb (Standard portion),Protein/Meat,253,44,0,10.5,0,0,147,187,Dinner,350,"high-protein,low-carb,gluten-free",Summer,Steamed,Standard
Quinoa Bowl High-Fiber (Standard portion),Meal/Grain,403,16.5,59.4,12.9,8.6,25.8,759,0,Lunch,500,gluten-free,Winter,Pan-fried,Standard
Turkey Sandwich Low-Carb (Extra Large portion),Meal/Processed,563,32.1,55.2,18.5,16.4,17,1001,86,Lunch,400,"high-protein,gluten-free",All Year,Grilled,Extra Large
Spaghetti Bolognese with Vegetables (Standard portion),Meal/Pasta,475,18.8,57.5,19,16.2,16.3,410,0,Dinner,300,gluten-free,Summer,Grilled,Standard
Stir Fry Tofu High-Fiber (Large portion),Meal/Vegetarian,491,21.7,40,26.9,6.5,16.6,761,0,Dinner,400,"high-protein,vegetarian,vegan",All Year,Boiled,Large
Whole Wheat Toast with Cheese (Large portion),Grain,96,5.2,19.4,1.2,5.1,8.9,252,0,Breakfast,300,gluten-free,All Year,Steamed,Large
Grilled Chicken Salad Italian Style (Extra Large portion),Meal/Protein,523,49.6,17,29.5,4.8,8,203,195,Lunch,500,"high-protein,gluten-free",All Year,Grilled,Extra Large
Cottage Cheese with Vegetables (Extra Large portion),Dairy,152,17.8,8.4,5.1,1.7,2.2,120,170,Snack,250,"low-carb,gluten-free",Fall,Grilled,Extra Large
Whole Wheat Toast Low-Carb (Small portion),Grain,60,2.8,9.4,0.7,2.7,4.4,214,0,Breakfast,250,"low-carb,gluten-free",Spring,Boiled,Small
Chicken Breast with Avocado (Extra Large portion),Protein/Meat,298,54.3,0,6.8,0,0,250,95,Dinner,250,"high-protein,low-carb,gluten-free",All Year,Raw,Extra Large
Hummus Italian Style (Large portion),Legume,88,2.5,5.2,6.1,1.3,2.5,238,0,Snack,100,"low-carb,gluten-free",Fall,Boiled,Large
Quinoa Bowl (Standard portion),Meal/Grain,409,13.6,58.6,11.7,6.4,25.6,563,0,Lunch,250,gluten-free,Spring,Pan-fried,Standard
Almonds Light (Standard portion),Nut,172,5.6,6.1,13.2,0.7,2.8,173,0,Snack,0,"low-carb,gluten-free",Fall,Boiled,Standard
Spaghetti Bolognese with Vegetables (Large portion),Meal/Pasta,587,23.9,78.3,22.3,20.7,34.4,793,0,Dinner,300,"high-protein,gluten-free",Summer,Raw,Large
Greek Yogurt Mexican Style (Large portion),Dairy,91,17.4,5.5,1.8,1.2,2.4,208,29,Breakfast,500,"low-carb,gluten-free",Winter,Raw,Large
Vegetable Curry Italian Style (Large portion),Meal/Vegetable,381,12.9,50.2,20.5,12.1,15,215,0,Dinner,350,gluten-free,All Year,Roasted,Large
Spaghetti Bolognese with Vegetables (Standard portion),Meal/Pasta,497,20.7,52.9,18.3,9.3,11.8,355,0,Dinner,500,"high-protein,gluten-free",Fall,Baked,Standard
Scrambled Eggs Italian Style (Large portion),Protein/Dairy,111,8.2,1.2,9,0.2,0.4,274,30,Breakfast,250,"low-carb,gluten-free",Spring,Pan-fried,Large
Avocado Toast with Vegetables (Large portion),Meal/Vegetarian,318,9.8,39.1,21.4,8,15.9,601,0,Breakfast,300,"vegetarian,gluten-free",All Year,Roasted,Large
Greek Yogurt High-Fiber (Small portion),Dairy,49,8.4,2.7,1,0.6,0.8,238,109,Breakfast,400,"low-carb,gluten-free",Fall,Boiled,Small
Banana (Small portion),Fruit,66,0.9,20.7,0.3,5.5,6.2,221,0,Breakfast,500,gluten-free,Summer,Roasted,Small
Almonds with Vegetables (Small portion),Nut,108,4.6,4,9.6,0.4,1.3,293,0,Snack,0,"low-carb,gluten-free",All Year,Baked,Small
Turkey Sandwich (Small portion),Meal/Processed,251,15.6,22.3,8.6,6.7,6.8,981,64,Lunch,500,gluten-free,Winter,Boiled,Small
Lentil Soup with Cheese (Standard portion),Meal/Legume,227,14.9,35.4,2.9,8.5,12.9,713,0,Lunch,300,gluten-free,Spring,Pan-fried,Standard
Apple Asian Style (Standard portion),Fruit,93,0.5,23.3,0.3,2.9,7,224,0,Snack,250,gluten-free,Winter,Grilled,Standard
Cottage Cheese Spicy (Small portion),Dairy,68,8.4,3.3,2.1,0.4,1.4,263,75,Snack,200,"low-carb,gluten-free",Winter,Baked,Small
Almonds Extra Protein (Small portion),Nut,116,4.2,4.3,9.5,0.6,1.8,42,0,Snack,150,"low-carb,gluten-free",Spring,Roasted,Small
Salmon Spicy (Standard portion),Protein/Fish,219,24.8,0,12.9,0,0,265,56,Dinner,500,"high-protein,low-carb,gluten-free",Winter,Baked,Standard
Salmon Light (Large portion),Protein/Fish,273,35.1,0,16.5,0,0,228,68,Dinner,350,"high-protein,low-carb,gluten-free",Fall,Boiled,Large
Scrambled Eggs with Avocado (Extra Large portion),Protein/Dairy,150,8.8,1.6,10.6,0.2,0.7,267,199,Breakfast,500,"low-carb,gluten-free",Spring,Roasted,Extra Large
Beef Steak High-Fiber (Standard portion),Protein/Meat,268,40.5,0,9.6,0,0,55,27,Dinner,250,"high-protein,low-carb,gluten-free",Summer,Baked,Standard
Protein Shake Mexican Style (Large portion),Supplement,154,31.2,4.3,1.3,0.7,1.2,177,0,Breakfast,350,"high-protein,low-carb,gluten-free",Spring,Roasted,Large
Veggie Burger with Vegetables (Extra Large portion),Protein/Vegetarian,172,16.3,14.7,5.8,4,3.1,239,0,Lunch,300,"vegetarian,vegan,gluten-free",Spring,Raw,Extra Large
Hummus with Cheese (Large portion),Legume,89,2.4,4.8,7.1,1.3,2.3,176,0,Snack,0,"low-carb,gluten-free",Fall,Baked,Large
Greek Yogurt with Vegetables (Extra Large portion),Dairy,121,19.3,6.8,2.5,0.8,1.8,81,36,Breakfast,250,"low-carb,gluten-free",Fall,Grilled,Extra Large
Quinoa Bowl with Vegetables (Extra Large portion),Meal/Grain,696,22.2,93.2,17.3,9.9,42.3,669,0,Lunch,400,"high-protein,gluten-free",Winter,Baked,Extra Large
Vegetable Curry (Extra Large portion),Meal/Vegetable,516,15.2,64.5,25.6,12.3,20.9,531,0,Dinner,500,gluten-free,Fall,Raw,Extra Large
Avocado Toast Spicy (Large portion),Meal/Vegetarian,322,8.8,37.9,18.2,10.6,15.7,622,0,Breakfast,350,"vegetarian,gluten-free",Summer,Baked,Large
Salmon with Cheese (Extra Large portion),Protein/Fish,368,40,0,21.4,0,0,96,49,Dinner,300,"high-protein,low-carb,gluten-free",All Year,Pan-fried,Extra Large
Chicken Breast Asian Style (Small portion),Protein/Meat,137,25.9,0,2.5,0,0,39,146,Dinner,350,"high-protein,low-carb,gluten-free",All Year,Grilled,Small
Grilled Chicken Salad High-Fiber (Extra Large portion),Meal/Protein,555,45,14.8,29.8,2.8,4.1,783,89,Lunch,300,"high-protein,gluten-free",Winter,Steamed,Extra Large
Turkey Sandwich with Vegetables (Extra Large portion),Meal/Processed,549,34.6,59.8,17.5,8.8,15.5,636,80,Lunch,350,"high-protein,gluten-free",Winter,Grilled,Extra Large
Quinoa Bowl Mediterranean Style (Small portion),Meal/Grain,255,10.2,39.2,8.7,4.5,17.4,723,0,Lunch,250,gluten-free,Summer,Baked,Small
Spaghetti Bolognese (Standard portion),Meal/Pasta,458,18.5,51,16.9,13.7,20.7,710,0,Dinner,300,gluten-free,Winter,Pan-fried,Standard
Oatmeal Mexican Style (Standard portion),Grain,77,3.2,13.7,1.4,3,6.4,161,0,Breakfast,300,gluten-free,Winter,Boiled,Standard
Quinoa Bowl High-Fiber (Small portion),Meal/Grain,289,11.1,40.3,8.1,7.6,16.2,761,0,Lunch,250,gluten-free,Spring,Boiled,Small
Avocado Toast Mediterranean Style (Extra Large portion),Meal/Vegetarian,423,11.8,48.6,23.1,12.1,10.4,543,0,Breakfast,500,"vegetarian,gluten-free",Spring,Baked,Extra Large
Oatmeal Mexican Style (Small portion),Grain,60,1.9,10.5,1,1.2,2.7,259,0,Breakfast,250,gluten-free,All Year,Boiled,Small
Avocado Toast Italian Style (Extra Large portion),Meal/Vegetarian,424,11.4,40.9,22.5,8.2,19.8,564,0,Breakfast,350,"vegetarian,gluten-free",Spring,Boiled,Extra Large
Cottage Cheese with Avocado (Small portion),Dairy,57,9,3.2,2.2,0.6,1,166,122,Snack,100,"low-carb,gluten-free",Spring,Steamed,Small
Banana with Vegetables (Small portion),Fruit,71,0.9,17.3,0.3,2.2,5.7,143,0,Breakfast,400,gluten-free,Spring,Steamed,Small
Banana Low-Carb (Standard portion),Fruit,102,1.4,24.6,0.4,3.3,11.7,211,0,Breakfast,350,gluten-free,Fall,Raw,Standard
Oatmeal Mediterranean Style (Standard portion),Grain,81,2.9,13.9,1.4,2.9,5.6,272,0,Breakfast,500,gluten-free,Winter,Boiled,Standard
Greek Yogurt Extra Protein (Large portion),Dairy,92,16.5,5.2,2,1.4,1.7,169,54,Breakfast,300,"low-carb,gluten-free",Spring,Boiled,Large
Hummus with Cheese (Extra Large portion),Legume,115,3.2,5.8,8.7,1.6,1.2,265,0,Snack,150,"low-carb,gluten-free",Winter,Raw,Extra Large
Scrambled Eggs Mediterranean Style (Extra Large portion),Protein/Dairy,139,8.7,1.6,11.5,0.3,0.3,204,94,Breakfast,400,"low-carb,gluten-free",Spring,Baked,Extra Large
Tuna Salad with Cheese (Standard portion),Meal/Fish,193,17.5,2,11.4,0.3,1,396,86,Lunch,400,"low-carb,gluten-free",Fall,Grilled,Standard
Salmon with Cheese (Large portion),Protein/Fish,273,34.7,0,17.8,0,0,52,119,Dinner,500,"high-protein,low-carb,gluten-free",All Year,Pan-fried,Large
Hummus Asian Style (Large portion),Legume,94,2.5,4.9,6.6,0.5,2.2,264,0,Snack,200,"low-carb,gluten-free",Fall,Pan-fried,Large
Tuna Salad Mediterranean Style (Extra Large portion),Meal/Fish,273,32.6,3.4,18.5,0.9,0.9,510,36,Lunch,400,"high-protein,low-carb,gluten-free",All Year,Boiled,Extra Large
Vegetable Curry with Cheese (Standard portion),Meal/Vegetable,344,10.4,42.2,13.9,12.6,15.7,569,0,Dinner,350,gluten-free,Spring,Boiled,Standard
Greek Yogurt Italian Style (Standard portion),Dairy,76,13.1,3.8,1.5,1.1,1.2,204,127,Breakfast,500,"low-carb,gluten-free",Fall,Grilled,Standard
Lentil Soup with Cheese (Large portion),Meal/Legume,298,21.2,45.3,3.8,9,21.8,468,0,Lunch,500,"high-protein,gluten-free",Winter,Steamed,Large
Avocado Toast Mexican Style (Extra Large portion),Meal/Vegetarian,383,11.2,43,22.7,6,16.6,611,0,Breakfast,250,"vegetarian,gluten-free",Spring,Baked,Extra Large
Greek Yogurt Spicy (Large portion),Dairy,103,14.8,5.2,2,1.4,2,156,95,Breakfast,400,"low-carb,gluten-free",Summer,Grilled,Large
Oatmeal Asian Style (Large portion),Grain,104,4.2,18.3,1.9,5.1,4.7,23,0,Breakfast,350,gluten-free,All Year,Raw,Large
Protein Bar Light (Large portion),Supplement/Processed,279,26.2,30.4,9.9,4.2,11.5,707,0,Snack,0,"high-protein,gluten-free",All Year,Roasted,Large
Protein Bar Spicy (Large portion),Supplement/Processed,279,28,29.8,8.7,8.9,9.7,555,0,Snack,200,"high-protein,gluten-free",Winter,Steamed,Large
Beef Steak Mediterranean Style (Large portion),Protein/Meat,355,49.5,0,12.3,0,0,199,31,Dinner,400,"high-protein,low-carb,gluten-free",Winter,Grilled,Large
Stir Fry Tofu Spicy (Extra Large portion),Meal/Vegetarian,631,29.4,47.6,34.5,7,13.4,413,0,Dinner,400,"high-protein,vegetarian,vegan",Summer,Grilled,Extra Large
Banana Spicy (Large portion),Fruit,141,1.6,37.2,0.5,6.9,9,281,0,Breakfast,400,gluten-free,Fall,Steamed,Large
Grilled Chicken Salad Mexican Style (Standard portion),Meal/Protein,361,28.1,10.6,20.4,1.7,4.7,436,152,Lunch,250,"high-protein,gluten-free",Fall,Grilled,Standard
Lentil Soup Extra Protein (Standard portion),Meal/Legume,216,14.7,34.7,3.1,6.4,8.6,481,0,Lunch,500,gluten-free,Summer,Raw,Standard
Oatmeal (Large portion),Grain,110,4,19.2,2.1,3.5,6.8,58,0,Breakfast,350,gluten-free,Spring,Raw,Large
Spaghetti Bolognese High-Fiber (Standard portion),Meal/Pasta,450,21.2,51.1,19.1,12.9,23,352,0,Dinner,500,"high-protein,gluten-free",Spring,Boiled,Standard
Protein Shake with Cheese (Standard portion),Supplement,121,25.1,3.1,1.1,0.5,1.5,216,0,Breakfast,500,"high-protein,low-carb,gluten-free",All Year,Pan-fried,Standard
Quinoa Bowl Extra Protein (Standard portion),Meal/Grain,366,15.8,54.3,12.2,10.4,12.6,259,0,Lunch,300,gluten-free,All Year,Grilled,Standard
Protein Bar Extra Protein (Small portion),Supplement/Processed,148,14.1,14.3,4.8,2.5,3.4,339,0,Snack,200,gluten-free,Winter,Boiled,Small
Quinoa Bowl Mexican Style (Small portion),Meal/Grain,290,11.1,40,8,5.5,12.9,260,0,Lunch,300,gluten-free,Summer,Boiled,Small
Oatmeal (Standard portion),Grain,84,3.2,14.5,1.6,2.3,6.8,159,0,Breakfast,500,gluten-free,Spring,Raw,Standard
Salmon Asian Style (Standard portion),Protein/Fish,232,24.2,0,14.5,0,0,47,68,Dinner,300,"high-protein,low-carb,gluten-free",Fall,Pan-fried,Standard
Whole Wheat Toast Light (Large portion),Grain,93,4.9,18.5,1.4,4.2,6,5,0,Breakfast,400,gluten-free,Summer,Raw,Large
Chicken Breast Low-Carb (Small portion),Protein/Meat,127,24.3,0,3.1,0,0,164,65,Dinner,400,"high-protein,low-carb,gluten-free",Winter,Boiled,Small
Apple Light (Large portion),Fruit,121,0.7,31.5,0.4,6.9,15.3,290,0,Snack,200,gluten-free,Winter,Baked,Large
Salmon Spicy (Extra Large portion),Protein/Fish,375,38.9,0,24.5,0,0,148,56,Dinner,300,"high-protein,low-carb,gluten-free",Fall,Raw,Extra Large
Scrambled Eggs Italian Style (Small portion),Protein/Dairy,60,4.2,0.8,5.3,0.1,0.2,116,148,Breakfast,250,"low-carb,gluten-free",Winter,Baked,Small
Scrambled Eggs Italian Style (Standard portion),Protein/Dairy,96,6.1,1,6.9,0.3,0.4,79,122,Breakfast,400,"low-carb,gluten-free",Summer,Baked,Standard
Chicken Breast High-Fiber (Large portion),Protein/Meat,251,47.2,0,5,0,0,271,90,Dinner,250,"high-protein,low-carb,gluten-free",Spring,Baked,Large
Salmon Spicy (Large portion),Protein/Fish,328,33.6,0,19,0,0,105,90,Dinner,250,"high-protein,low-carb,gluten-free",All Year,Pan-fried,Large
Oatmeal with Avocado (Extra Large portion),Grain,137,5.1,21.1,2.3,3.7,5.1,170,0,Breakfast,300,gluten-free,Spring,Steamed,Extra Large
Tuna Salad Mediterranean Style (Standard portion),Meal/Fish,180,19.8,1.9,12.7,0.4,0.8,200,26,Lunch,250,"low-carb,gluten-free",Summer,Steamed,Standard
Grilled Chicken Salad with Cheese (Small portion),Meal/Protein,260,20.2,6.3,13.3,1.9,1.8,650,82,Lunch,300,"high-protein,low-carb,gluten-free",All Year,Steamed,Small
Hummus Italian Style (Small portion),Legume,50,1.3,3.1,3.3,0.4,1.3,56,0,Snack,200,"low-carb,gluten-free",Winter,Pan-fried,Small
Beef Steak Low-Carb (Extra Large portion),Protein/Meat,457,68.4,0,17,0,0,176,78,Dinner,400,"high-protein,low-carb,gluten-free",Winter,Steamed,Extra Large
Spaghetti Bolognese Italian Style (Small portion),Meal/Pasta,290,14.8,39.6,13.2,7.6,18.3,670,0,Dinner,500,gluten-free,All Year,Steamed,Small
Apple with Cheese (Small portion),Fruit,70,0.3,16.7,0.2,3.1,5,14,0,Snack,200,gluten-free,Summer,Boiled,Small
Oatmeal with Cheese (Standard portion),Grain,86,3.2,14.6,1.4,3.8,7.2,105,0,Breakfast,300,gluten-free,Fall,Baked,Standard
Lentil Soup Mexican Style (Extra Large portion),Meal/Legume,345,25.5,55.1,4.5,14.5,23.8,595,0,Lunch,350,"high-protein,gluten-free",Fall,Grilled,Extra Large
Hummus Spicy (Extra Large portion),Legume,110,3,6,8.6,0.7,2.1,53,0,Snack,0,"low-carb,gluten-free",Fall,Raw,Extra Large
Apple Italian Style (Standard portion),Fruit,102,0.5,25.7,0.3,5.6,5.8,85,0,Snack,150,gluten-free,Fall,Raw,Standard
Turkey Sandwich High-Fiber (Small portion),Meal/Processed,235,15.7,24.6,9,4.6,9.1,480,34,Lunch,300,gluten-free,Fall,Pan-fried,Small
Lentil Soup Extra Protein (Standard portion),Meal/Legume,213,13.8,38,2.9,6.2,18.5,594,0,Lunch,400,gluten-free,Winter,Raw,Standard
Quinoa Bowl High-Fiber (Standard portion),Meal/Grain,392,14.2,51.7,12.7,7.1,11.8,747,0,Lunch,250,gluten-free,Winter,Steamed,Standard
Vegetable Curry High-Fiber (Standard portion),Meal/Vegetable,327,10,37.9,14.3,6.1,18,399,0,Dinner,400,gluten-free,Fall,Steamed,Standard
Scrambled Eggs Italian Style (Extra Large portion),Protein/Dairy,157,9.9,1.5,11,0.2,0.6,196,157,Breakfast,400,"low-carb,gluten-free",Winter,Steamed,Extra Large
Vegetable Curry Mexican Style (Small portion),Meal/Vegetable,222,7.4,28.6,10.1,7.9,5.8,769,0,Dinner,350,gluten-free,All Year,Boiled,Small
Avocado Toast with Avocado (Small portion),Meal/Vegetarian,200,5.3,18.5,10.2,3.6,4.6,217,0,Breakfast,500,"vegetarian,gluten-free",All Year,Steamed,Small
Greek Yogurt Mediterranean Style (Extra Large portion),Dairy,109,19.1,6.9,2.6,1,2.2,227,40,Breakfast,400,"low-carb,gluten-free",Spring,Steamed,Extra Large
Banana High-Fiber (Small portion),Fruit,76,0.9,19.6,0.3,2,8.9,158,0,Breakfast,300,gluten-free,All Year,Boiled,Small
Almonds Italian Style (Standard portion),Nut,167,6,6,13.6,1.4,1.4,276,0,Snack,0,"low-carb,gluten-free",Spring,Grilled,Standard
Cottage Cheese Spicy (Extra Large portion),Dairy,153,20.4,7.5,5.2,2.1,3.6,244,126,Snack,100,"high-protein,low-carb,gluten-free",Spring,Raw,Extra Large
Turkey Sandwich Mexican Style (Standard portion),Meal/Processed,315,23.9,34.2,12.6,8.9,10.8,488,88,Lunch,500,"high-protein,gluten-free",Fall,Roasted,Standard
Tuna Salad Mediterranean Style (Extra Large portion),Meal/Fish,316,32.1,3,20.5,0.8,0.9,593,163,Lunch,300,"high-protein,low-carb,gluten-free",Spring,Raw,Extra Large
Protein Bar Mexican Style (Large portion),Supplement/Processed,247,26.7,28.8,9.6,6.2,9.3,836,0,Snack,200,"high-protein,gluten-free",Summer,Grilled,Large
